borehole_id,x,y,z_top,z_bottom,formation_id,formation_name,thickness,density,in_fault_zone,color,enhanced_color
ZK001,387.0861069626262,905.6428757689246,0.4645073943220071,-2.127477772730898,1,填土,2.5919851670529055,1.6293072473298682,False,#8B4513,#8B4513
ZK001,387.0861069626262,905.6428757689246,1.1395638552366076,-5.717473875921204,2,粘土,6.857037731157812,1.6473832920911788,False,#FF0000,#FF0000
ZK001,387.0861069626262,905.6428757689246,-8.135915680943057,-17.2767872876567,3,粉质粘土,9.140871606713642,1.502531832977268,False,#FF8C00,#FF8C00
ZK001,387.0861069626262,905.6428757689246,-16.27270334690955,-33.63395715813691,4,细砂,17.361253811227357,1.517931768164829,False,#FFD700,#FFD700
ZK001,387.0861069626262,905.6428757689246,-35.12558646227872,-47.05233872076737,5,中砂,11.926752258488648,1.6822060159994492,False,#32CD32,#32CD32
ZK001,387.0861069626262,905.6428757689246,-48.36867680664611,-59.40354557889242,6,粗砂,11.034868772246313,1.524626383564251,False,#00CED1,#00CED1
ZK001,387.0861069626262,905.6428757689246,-60.54438991681755,-70.4095552857163,7,砾砂,9.865165368898744,1.5922898290585896,False,#1E90FF,#1E90FF
ZK001,387.0861069626262,905.6428757689246,-68.22455311712538,-87.4527002264653,8,卵石层,19.228147109339915,1.6827183249036024,False,#9932CC,#9932CC
ZK001,387.0861069626262,905.6428757689246,-85.0990136708107,-110.16402313020023,9,强风化岩,25.06500945938953,1.5735343166762046,False,#DC143C,#DC143C
ZK001,387.0861069626262,905.6428757689246,-111.81975658898484,-158.14077158852257,10,中风化岩,46.321014999537724,1.5142842443583717,False,#708090,#708090
ZK001,387.0861069626262,905.6428757689246,-158.4271614535662,-185.93091396713842,11,微风化岩,27.50375251357221,1.577653721467415,False,#2F4F4F,#2F4F4F
ZK001,387.0861069626262,905.6428757689246,-185.9493835484777,-243.0893884893986,12,基岩,57.1400049409209,1.5927171087343128,False,#000000,#000000
ZK002,708.7945476302646,588.792635777333,-3.0296944493717293,-5.521618218530686,1,填土,2.491923769158957,1.555348504793298,False,#8B4513,#8B4513
ZK002,708.7945476302646,588.792635777333,-2.063736280898549,-11.433974351816104,2,粘土,9.370238070917555,1.4754261221288012,False,#FF0000,#FF0000
ZK002,708.7945476302646,588.792635777333,-11.091527080618839,-23.507161302661675,3,粉质粘土,12.415634222042836,1.511614256379887,False,#FF8C00,#FF8C00
ZK002,708.7945476302646,588.792635777333,-24.16137862522735,-39.622553943063934,4,细砂,15.461175317836584,1.4857029702169378,False,#FFD700,#FFD700
ZK002,708.7945476302646,588.792635777333,-38.617402327219466,-49.33297704791603,5,中砂,10.715574720696566,1.7083051243175278,False,#32CD32,#32CD32
ZK002,708.7945476302646,588.792635777333,-53.20988483656668,-62.89596811982253,6,粗砂,9.686083283255847,1.5062174960084878,False,#00CED1,#00CED1
